model_name,scenario_name,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,rmse_ratio,robustness_score
linear_regression,delhi_standalone,35.604370006695675,52.682583076903555,29.992658224056232,40.901835485407766,0.31603073430469664,0.28717291561739566,1.4796662057774423,38.04372670594604
random_forest,delhi_standalone,14.683350957078378,56.4941166150301,11.863057455875946,40.90019195753007,0.8836730518909955,0.18029701715174207,3.8474948109713387,10.817821029104524
xgboost,delhi_standalone,0.0010037968185782613,53.08211240673651,0.0006624810342420832,39.51689132410518,0.9999999994563472,0.2763201740499499,52881.33158453316,16.579210442996995
lightgbm,delhi_standalone,16.669717640364997,57.42632811031896,13.820525005433666,43.74353361860227,0.8500707173943309,0.15302192685583038,3.4449490596807473,9.181315611349824
neural_network,delhi_standalone,57.92711030387559,78.70896267962506,47.60809004613272,67.96019312538874,-0.8104798858168369,-0.5911035652551355,1.3587586583679296,25.649653665282816
linear_regression,mumbai_standalone,22.252731254184777,32.926614423064365,18.74541139003507,25.563647178379522,0.5164900713081559,0.45014747896581964,1.4796662057774275,47.82220050685208
random_forest,mumbai_standalone,9.290714819209482,36.13476536668667,7.221775384506412,27.282460682375113,0.9157175775556681,0.3377796191769965,3.8893417858413253,20.266777150619788
xgboost,mumbai_standalone,0.0006695231061419774,34.92702139019276,0.00044413563239683224,25.826738626614713,0.9999999995623067,0.38130705338787996,52167.01420725311,22.878423203272796
lightgbm,mumbai_standalone,10.434853241266072,36.27488839715598,8.680314675151688,27.384853417675604,0.8936808633302952,0.3326337581076142,3.476319940342037,19.95802548645685
neural_network,mumbai_standalone,59.42363266921369,51.04564551585704,51.18379167994734,41.53774572129834,-2.4479197213056145,-0.32150699102897984,0.8590125379915198,40.0
linear_regression,delhi_to_mumbai,39.16041575854258,24.792282605400615,31.439640409121736,20.031830572921134,0.32234184403931143,0.4938767581808353,0.6330954900547078,69.63260549085012
random_forest,delhi_to_mumbai,16.16977592936544,39.19933973853605,12.829951120607337,34.67477991552668,0.8844622022566453,-0.2652628524634155,2.4242351848146093,11.515296303707814
xgboost,delhi_to_mumbai,0.0014989462992163688,42.980548200955276,0.0009915586216828014,39.00419138290165,0.9999999990071395,-0.5211328821529637,28673.841233288338,0.0
lightgbm,delhi_to_mumbai,15.386075108597012,25.854444786925423,12.426963192980034,21.813577033312995,0.8953903430233143,0.4495806597134846,1.6803794732861521,53.36725011708603
neural_network,delhi_to_mumbai,79.08671046732816,46.97073616484821,67.98130993024584,38.092774776011375,-1.7639049612114626,-0.8166781273268686,0.5939143996165132,40.0
linear_regression,mumbai_to_delhi,24.47525984908911,41.495608142212994,19.64977525570128,32.85850425487993,0.5067377538114127,0.23911267550903326,1.695410320383476,40.438554122872475
random_forest,mumbai_to_delhi,10.198867068406262,47.958244964073856,7.934920462330827,40.04469069500991,0.9143500495392441,-0.01634848714549153,4.702311015763451,0.0
xgboost,mumbai_to_delhi,0.0007098483376405704,46.536928026852,0.0004986946198651883,38.77572403724745,0.9999999995850896,0.04300095449679331,65558.97303575266,2.5800572698075985
lightgbm,mumbai_to_delhi,9.684930272619635,44.45774247039681,7.867670208406886,36.565600917686155,0.9227646266420715,0.12660461403126688,4.590403980097177,7.596276841876012
neural_network,mumbai_to_delhi,47.97682370628387,79.4914163131236,38.96108091671848,67.92197014680376,-0.8953361152005679,-1.7922644790446394,1.6568711759614057,26.86257648077189
linear_regression,multi_city_to_mumbai,31.571619831906848,35.57178567389192,23.751710146998505,30.24398634589132,0.588135420381152,-0.041920510978064485,1.1267013179330896,34.93194728267642
random_forest,multi_city_to_mumbai,12.642162305927174,20.448399743655855,8.916060290578292,16.596014201809126,0.9339605514135272,0.6556961280468947,1.6174764449961847,66.99223878288998
xgboost,multi_city_to_mumbai,0.023360490183941096,27.783571323307385,0.01580197946877401,21.380653667160647,0.9999997745113856,0.36437730882835406,1189.3402537591821,21.862638529701243
lightgbm,multi_city_to_mumbai,7.27285348565651,15.436732631314944,5.28001033933344,12.335226862219706,0.9781440145833243,0.8037841808209418,2.1225139021099766,65.77677280705699
neural_network,multi_city_to_mumbai,64.1363085488867,50.39300402062801,51.77622763007052,43.102319563796605,-0.6996857555851257,-1.0910467862567166,0.7857172506617977,40.0
linear_regression,all_except_bangalore_to_bangalore,30.82463696756764,20.02505217472465,23.78502788989783,15.341605242566436,0.5205561269471776,0.5990394191251612,0.6496443801039458,75.94236514750968
random_forest,all_except_bangalore_to_bangalore,11.368260901581273,14.323452443758743,8.73002747159067,11.582751208627288,0.9347876431659115,0.7948602665776078,1.2599510661975057,77.29357334675623
xgboost,all_except_bangalore_to_bangalore,0.09036454104890551,13.454357347149346,0.06196287922262942,12.005422867143475,0.9999958796137758,0.8189992882856075,148.88978786344762,49.13995729713645
lightgbm,all_except_bangalore_to_bangalore,4.563065610570301,11.231809630748547,3.3641782016488935,9.230001619029386,0.9894935678829682,0.8738597074883891,2.4614613484255323,63.202355480792704
neural_network,all_except_bangalore_to_bangalore,49.405279046179196,42.77475610468699,38.92034467523508,31.713187544675915,-0.23165349982156336,-0.8294875136731261,0.8657932296001275,40.0
linear_regression,full_multi_city_temporal,28.018949047098175,34.50266065446157,22.278633226464645,23.538558699138537,0.5854486273308341,0.48227234669692576,1.23140452543258,59.680159784512355
random_forest,full_multi_city_temporal,9.818343044486697,37.7619071932782,7.397016002881034,25.257240016651046,0.9490960974962096,0.3798396015218716,3.8460570202303814,22.790376091312293
xgboost,full_multi_city_temporal,0.05497234261368108,40.21977303500397,0.039369400018855846,28.009716092384917,0.9999984042562073,0.2964816657539254,731.6365125213782,17.788899945235524
lightgbm,full_multi_city_temporal,3.888016855515072,37.782689554855594,2.7888678901308093,26.34925979990994,0.9920176465736484,0.3791567999805001,9.717727818299354,22.74940799883001
neural_network,full_multi_city_temporal,64.57476608436937,64.65444625296064,54.370973065996544,51.51799636190606,-1.2019140262396686,-0.817996245113372,1.0012339211339483,39.95064315464207
